Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
GrandMoff GOAT,82186141,32,44,0,Yes,14284509,12484509,9,0,18,Yes,13235854,12485854,3,0,6,Yes,12529103,12529103,0,2,0,Yes,13715353,12529103,4,0,7,Yes,13865605,12533105,4,0,6,Yes,14555717,12534623,4,0,7
Skcampy,80725306,8,35,0,Yes,14443703,12643703,9,0,18,Yes,14143703,12643703,6,0,10,Yes,12995157,12653907,2,0,2,Yes,13823907,12653907,3,1,5,Yes,12656619,12656619,0,0,0,Yes,12662217,12662217,0,0,0
OhMyPretzel,76606614,19,38,0,Yes,13843146,11543146,11,0,20,Yes,13324677,11574677,6,0,9,Yes,12095341,11595341,2,1,4,Yes,11936591,11595341,2,2,2,Yes,12801904,11595341,2,0,2,Yes,12604955,11617767,1,0,1
Seeuker,62035393,5,4,0,Yes,11565470,11565470,0,0,0,No,3156305,3156305,0,1,0,Yes,11572780,11572780,0,1,0,Yes,11573691,11573691,0,0,0,Yes,11588688,11588688,0,0,0,Yes,12578459,11591271,2,0,4
GET WRECKED,55655346,5,17,0,Yes,10268716,9068716,5,0,9,No,4700120,4700120,0,1,0,Yes,9080308,9080308,1,0,0,Yes,11278383,9084633,4,1,5,Yes,10071821,9084633,1,0,1,Yes,10255998,9085998,2,0,2
Salvare,87998001,21,67,3,Yes,15529274,12529274,14,0,24,Yes,14780462,12530462,11,0,13,Yes,14468578,12532328,7,0,13,Yes,13377328,12532328,4,1,5,Yes,16090653,12537996,7,0,10,Yes,13751706,12545143,2,0,2
HonkaHonka,71671651,6,53,0,Yes,12886891,10286891,11,0,20,Yes,12045549,10295549,7,0,9,Yes,12579369,10305619,7,2,13,Yes,11341016,10317266,4,0,6,Yes,11508071,10321821,4,0,4,Yes,11310755,10323567,1,0,1
ItzBerndern,105723889,52,104,9,Yes,17161261,13761261,14,1,25,Yes,17899752,13774752,14,1,22,Yes,18101261,13780011,12,3,22,Yes,18367523,13778929,10,0,16,Yes,17961360,13774953,7,2,12,Yes,16232732,13764762,4,2,7
Viirx,38410154,8,4,0,No,0,0,0,0,0,No,174744,174744,0,0,0,Yes,12116681,12116681,0,1,0,Yes,12116681,12116681,0,2,0,Yes,14002048,12133298,3,0,4,No,0,0,0,0,0
Berk Law,74445227,24,57,0,Yes,14913916,12413916,11,0,19,Yes,14413966,12413966,7,1,11,No,90622,90622,0,0,0,Yes,15645310,12411560,7,2,12,Yes,14595857,12428513,5,1,7,Yes,14785556,12439462,7,0,8
Coup de grâce,57535462,16,0,0,Yes,9526113,9526113,0,0,0,Yes,9527725,9527725,0,0,0,Yes,9534612,9534612,0,0,0,Yes,9540595,9540595,0,0,0,Yes,9699373,9699373,0,0,0,Yes,9707044,9707044,0,0,0
Toughnoodles,72605470,7,57,0,Yes,13183102,11383102,7,0,12,Yes,13139460,11389460,6,0,9,Yes,14099237,11392987,7,2,12,No,2686150,1158650,4,1,5,Yes,15766212,11403086,10,0,12,Yes,13731309,11415683,4,1,7
Philadelphia Collins,97888847,66,77,0,Yes,16665248,13665248,13,0,24,Yes,15667821,13667821,7,1,11,Yes,16280415,13665415,8,1,15,Yes,16200448,13665448,7,1,10,Yes,16926649,13672586,8,0,10,Yes,16148266,13680296,4,0,7
Saki,58028144,9,29,0,Yes,9939538,8939538,5,0,10,Yes,9939748,8939748,4,0,6,Yes,9816948,8938198,4,1,6,Yes,9102248,8939748,2,1,1,Yes,9280998,8939748,1,0,2,Yes,9948664,8961476,2,0,4
Lore Maestro,95653136,27,98,0,Yes,14832960,11832960,13,0,24,Yes,13841002,11841002,8,0,11,Yes,14147734,11873984,7,3,13,Yes,17705285,11873566,12,1,20,Yes,17523673,11876797,11,0,16,Yes,17602482,11880449,9,0,14
PantherNP,61531442,6,14,0,Yes,9636266,9636266,0,0,0,Yes,10388672,9638672,2,1,3,Yes,10137173,9637173,2,1,4,Yes,9640223,9640223,0,1,0,Yes,10675782,9652032,2,0,3,Yes,11053326,9657857,3,0,4
N7 Tesla,73854445,35,53,0,Yes,14899180,12599180,13,0,20,Yes,14742012,12617012,9,1,12,Yes,13963887,12618887,6,0,9,Yes,14333292,12627042,8,1,7,No,481720,481720,0,0,0,Yes,15434354,12631228,8,0,5
MINI Mace Dymond,108029133,26,120,8,Yes,16738708,13338708,14,0,25,Yes,16713708,13338708,13,0,19,Yes,17664666,13343416,12,2,22,Yes,17438416,13343416,12,1,14,Yes,20058730,13343416,13,0,21,Yes,19414905,13351622,12,0,19
Pflapjack,58015372,105,10,0,No,2386255,1786255,3,0,6,Yes,13111679,12486679,3,1,4,No,5011370,5011370,0,1,0,Yes,12500627,12500627,0,1,0,Yes,12500627,12500627,0,0,0,Yes,12504814,12504814,0,0,0
Guiragon2,53742788,52,6,0,Yes,11211564,10611564,3,0,6,Yes,10625750,10625750,0,0,0,No,0,0,0,0,0,Yes,10626875,10626875,0,0,0,Yes,10630274,10630274,0,0,0,Yes,10648325,10648325,0,0,0
Yania May,48184696,21,0,1,No,0,0,0,0,0,No,0,0,0,0,0,Yes,12046174,12046174,0,2,0,Yes,12046174,12046174,0,0,0,Yes,12046174,12046174,0,0,0,Yes,12046174,12046174,0,0,0
dadslostcause,56012764,6,20,1,Yes,9249794,8449794,3,0,5,Yes,9714382,8464382,4,0,6,Yes,9567966,8472966,3,0,4,Yes,8809671,8468421,1,0,2,Yes,9947399,8466617,3,0,3,Yes,8723552,8723552,0,0,0
Fixer 40,33486123,0,2,0,No,0,0,0,0,0,No,0,0,0,0,0,Yes,11369521,11028271,1,0,2,Yes,11050141,11050141,0,0,0,No,0,0,0,0,0,Yes,11066461,11066461,0,0,0
Jhoots15,25628610,4,1,1,No,0,0,0,0,0,Yes,5525587,5025587,3,0,1,Yes,5025587,5025587,0,0,0,Yes,5025812,5025812,0,0,0,Yes,5025812,5025812,0,0,0,Yes,5025812,5025812,0,0,0
Wabba Dejabba,61859819,28,32,0,Yes,12941843,11341843,8,0,16,Yes,12092983,11342983,3,0,4,Yes,11340814,11340814,0,2,0,Yes,12707809,11342809,4,0,8,No,51822,51822,0,0,0,Yes,12724548,11359548,2,0,4
Gut0182,54312627,5,47,1,Yes,13393294,11593294,10,0,18,Yes,13613856,11613856,7,1,11,Yes,12455106,11613856,6,1,6,Yes,14850371,11616621,7,1,12,No,0,0,0,0,0,No,0,0,0,0,0
s0da p0pinski,103368796,52,90,0,Yes,17150495,13950495,14,1,23,Yes,16329501,13954501,9,1,14,Yes,15871677,13955427,8,1,11,Yes,18193707,13968707,13,2,17,Yes,18946630,13970066,12,1,16,Yes,16876786,13970066,9,1,9
Bobandy,83812040,66,73,0,Yes,16937404,13637404,14,0,24,Yes,15649926,13649926,7,0,11,Yes,15921270,13647520,7,2,13,Yes,18425020,13647520,11,1,18,Yes,16847114,13649926,6,0,7,No,31306,31306,0,0,0
8,82878901,28,35,0,Yes,14339506,12739506,9,0,13,Yes,14116873,12741873,8,0,9,Yes,13835624,12740624,5,2,7,Yes,14108462,12743462,4,1,5,Yes,13731046,12743858,2,0,1,Yes,12747390,12747390,0,0,0
TheMonkeyBuddha,97520582,28,87,0,Yes,15687063,12887063,14,0,22,Yes,14637483,12887483,8,1,9,Yes,15500401,12885401,8,1,15,Yes,16281651,12885401,10,1,14,Yes,16528511,12898667,12,0,12,Yes,18885473,12903440,12,0,15
Pussbag,34460383,3,4,0,No,0,0,0,0,0,Yes,9360614,8360614,3,0,4,Yes,8361604,8361604,0,0,0,Yes,8361604,8361604,0,0,0,Yes,8376561,8376561,0,0,0,No,0,0,0,0,0
Digolo Doorjam,58963408,11,13,2,Yes,12135937,11335937,4,0,8,Yes,11337529,11337529,0,0,0,No,248374,248374,0,1,0,Yes,11336964,11336964,0,0,0,Yes,12332809,11345621,2,0,4,Yes,11571795,11352420,1,0,1
Cubanito,58369049,3,0,0,Yes,9695644,9695644,0,0,0,Yes,9717511,9717511,0,0,0,Yes,9724337,9724337,0,1,0,Yes,9730078,9730078,0,0,0,Yes,9745308,9745308,0,0,0,Yes,9756171,9756171,0,0,0
Banshey,75958108,15,41,0,Yes,13181196,10781196,10,0,18,Yes,12540487,10790487,6,1,9,Yes,11666800,10791800,3,1,4,Yes,12156437,10791437,2,1,2,Yes,13647375,10791437,5,0,6,Yes,12765813,10791437,3,0,2
Stegosaurus Dave,50900432,10,7,0,Yes,10382439,9982439,3,0,4,Yes,9982439,9982439,1,0,0,Yes,9986354,9986354,0,0,0,Yes,10525020,10021270,2,0,3,No,0,0,0,0,0,Yes,10024180,10024180,0,0,0
Steelers77,77849099,5,56,4,Yes,13202156,11202156,9,0,17,Yes,12827156,11202156,7,0,12,Yes,12526468,11218968,5,1,9,Yes,13950698,11220698,5,1,9,Yes,11227120,11227120,0,0,0,Yes,14115501,11233157,6,0,9
Kayid,37852043,3,4,0,Yes,7876002,7476002,2,0,4,Yes,7488694,7488694,0,0,0,Yes,7493282,7493282,0,1,0,Yes,7496397,7496397,0,0,0,No,0,0,0,0,0,Yes,7497668,7497668,0,0,0
Uhrrr ahhrrr aaargh,28981798,3,2,1,Yes,9274851,9274851,0,0,0,No,0,0,0,0,0,No,108566,108566,0,0,0,Yes,9457655,9295155,1,0,1,No,835254,347754,2,0,1,Yes,9305472,9305472,0,0,0
cfcmattw,73332634,4,39,0,Yes,12753832,10953832,9,0,15,Yes,12830623,10955623,7,1,11,Yes,11956690,10952940,5,1,7,Yes,12829381,10960631,3,0,4,Yes,11992929,10969179,1,0,2,Yes,10969179,10969179,0,0,0
Luiz Yavok,67414576,3,0,0,Yes,11211994,11211994,0,0,0,Yes,11222053,11222053,0,0,0,Yes,11229044,11229044,0,2,0,Yes,11249639,11249639,0,0,0,Yes,11249974,11249974,0,0,0,Yes,11251872,11251872,0,0,0
