Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
OhMyPretzel,75721247,16,30,0,Yes,12775852,11175852,7,0,13,Yes,12427847,11177847,4,0,5,Yes,11177847,11177847,0,1,0,Yes,14253669,11182419,5,2,8,Yes,13888736,11195298,3,0,4,Yes,11197296,11197296,0,0,0
Grand Forcequisitor,46109206,27,22,0,Yes,11246383,10346383,5,0,9,Yes,10729227,10354227,2,0,3,No,0,0,0,0,0,Yes,11040937,10358437,2,2,4,No,0,0,0,0,0,Yes,13092659,10368752,5,1,6
Seeuker,69256411,1,11,0,Yes,11808309,11208309,3,0,6,Yes,11208309,11208309,0,0,0,Yes,11208387,11208387,0,1,0,Yes,12573387,11208387,3,1,5,Yes,11226201,11226201,0,0,0,Yes,11231818,11231818,0,0,0
Salvare,88327461,15,74,3,Yes,15247833,12247833,13,0,24,Yes,15304406,12304406,10,0,16,Yes,14579740,12305990,8,2,13,Yes,13506553,12320303,5,1,7,Yes,15389855,12324698,6,0,9,Yes,14299074,12324698,3,0,5
HonkaHonka,64615688,3,43,1,Yes,11315462,9515462,8,0,15,Yes,10523477,9523477,4,0,7,Yes,10617226,9525976,4,1,8,Yes,10244565,9562065,2,1,4,Yes,12309821,9579821,5,0,9,Yes,9605137,9605137,1,0,0
ItzBerndern,89555016,58,107,8,Yes,17022072,13622072,14,1,25,Yes,17373213,13623213,14,0,22,Yes,17272096,13633346,11,3,21,Yes,17536079,13629985,11,1,18,Yes,18496579,13639859,10,2,15,No,1854977,489977,2,0,6
Viirx,36319661,9,0,1,No,69349,69349,0,0,0,Yes,12066086,12066086,0,0,0,Yes,12066086,12066086,0,2,0,No,34206,34206,0,0,0,Yes,12083934,12083934,0,0,0,No,0,0,0,0,0
burly kernel,67260547,15,38,0,Yes,14048398,12248398,9,0,18,Yes,13508451,12258451,5,0,8,Yes,13101457,12260207,3,1,6,Yes,14308522,12261022,4,2,6,Yes,12264688,12264688,0,0,0,No,29031,29031,0,0,0
SuperKlago,41044424,2,12,0,Yes,8851916,7851916,4,0,7,Yes,8237229,7862229,3,0,3,Yes,8208334,7867084,1,0,2,Yes,7867915,7867915,0,0,0,No,0,0,0,0,0,Yes,7879030,7879030,0,0,0
Berk Law,86494873,18,62,0,Yes,14620088,12120088,12,0,19,Yes,14003780,12128780,7,0,10,Yes,12878780,12128780,3,1,6,Yes,15176075,12137325,9,2,13,Yes,14831903,12138465,4,0,7,Yes,14984247,12138465,5,0,7
Coup de grâce,53273347,34,5,0,Yes,8903924,8703924,1,0,2,Yes,9206212,8706212,1,0,1,Yes,8956278,8706278,3,0,2,Yes,8730754,8730754,0,0,0,Yes,8729142,8729142,0,0,0,Yes,8747037,8747037,0,0,0
Toughnoodles,78981005,3,50,1,Yes,13253831,10953831,11,0,17,Yes,12461788,10961788,5,0,8,Yes,12563974,10968974,7,1,3,Yes,13014208,10966708,3,2,10,Yes,13312452,10960264,4,0,5,Yes,14374752,10968345,5,1,7
Philadelphia Collins,96191395,83,78,0,Yes,16375748,13375748,14,0,24,Yes,15378328,13378328,7,0,11,Yes,15584477,13489477,7,2,12,Yes,18280132,13502632,11,1,18,Yes,17067611,13502767,7,1,13,Yes,13505099,13505099,0,1,0
Saki,49611815,11,32,0,Yes,9781737,8781737,5,0,10,Yes,9534305,8784305,3,0,5,Yes,9786505,8782755,4,1,7,No,1268690,927440,3,1,2,Yes,9620289,8785445,2,0,4,Yes,9620289,8785445,2,0,4
Lore Maestro,78134574,13,79,0,Yes,14338683,11538683,12,0,22,No,0,0,0,0,0,Yes,13816245,11542495,7,3,13,Yes,17308231,11543543,11,1,19,Yes,17094231,11555011,12,0,15,Yes,15577184,11555308,8,0,10
Chapolin Colorado,80557223,0,18,1,Yes,13792354,12992354,4,0,8,Yes,14249208,12999208,5,0,8,Yes,13034524,13034524,0,1,0,Yes,13037379,13037379,0,2,0,Yes,13392504,13051254,3,0,2,Yes,13051254,13051254,0,0,0
PantherNP,50050423,4,30,0,Yes,10428794,8928794,7,0,12,Yes,10203797,8953797,4,0,7,Yes,9598460,8969710,3,1,4,Yes,10389309,9024309,4,1,5,Yes,9430063,9088813,1,0,2,No,0,0,0,0,0
N7 Tesla,71001215,32,30,1,No,1978202,1178202,2,0,0,Yes,14338559,12338559,9,0,13,Yes,13915966,12340966,6,1,9,Yes,13026175,12343675,1,0,1,Yes,13367635,12343885,6,0,3,Yes,14374678,12363740,9,0,4
MINI Mace Dymond,88203744,21,54,4,Yes,16518831,13118831,14,0,25,Yes,16368831,13118831,12,0,18,Yes,14368897,13118897,4,2,7,Yes,14645255,13134005,3,1,4,Yes,13147068,13147068,0,0,0,Yes,13154862,13154862,0,0,0
Pflapjack,73996006,82,0,0,Yes,12325768,12325768,0,0,0,Yes,12325768,12325768,0,0,0,Yes,12332262,12332262,0,0,0,Yes,12333024,12333024,0,2,0,Yes,12338917,12338917,0,0,0,Yes,12340267,12340267,0,0,0
Guiragon2,57040625,84,0,0,Yes,9490920,9490920,0,0,0,Yes,9491427,9491427,0,0,0,Yes,9507680,9507680,0,0,0,Yes,9507680,9507680,0,0,0,Yes,9512780,9512780,0,0,0,Yes,9530138,9530138,0,0,0
Yania May,49347777,19,6,0,No,0,0,0,0,0,Yes,12634249,11884249,4,0,4,Yes,11884249,11884249,0,2,0,Yes,11884249,11884249,0,1,0,Yes,12945030,11921280,1,0,2,No,0,0,0,0,0
dadslostcause,46233229,8,9,0,Yes,8213344,7413344,5,0,5,Yes,8037544,7412544,2,0,2,Yes,7252182,7252182,0,0,0,Yes,7431645,7431645,0,1,0,Yes,7817600,7476350,3,0,2,Yes,7480914,7480914,0,0,0
Fixer 40,33646851,0,15,0,Yes,12390268,10590268,10,0,15,No,0,0,0,0,0,Yes,10601354,10601354,0,0,0,No,0,0,0,0,0,Yes,10655229,10655229,0,0,0,No,0,0,0,0,0
Jhoots15,22653225,0,2,0,Yes,4914166,4414166,2,0,2,Yes,4416218,4416218,0,0,0,Yes,4435855,4435855,0,0,0,Yes,4443388,4443388,0,0,0,No,0,0,0,0,0,Yes,4443598,4443598,0,0,0
Wabba Dejabba,72849730,19,35,0,Yes,11742656,10942656,4,0,8,Yes,11835780,10960780,4,0,5,Yes,11213833,10963833,1,2,2,Yes,12143761,10973761,5,1,5,Yes,12730622,11024372,3,0,6,Yes,13183078,11025890,5,0,9
s0da p0pinski,98895985,45,84,1,Yes,16658421,13758421,14,1,23,Yes,15882536,13757536,9,0,12,Yes,16226924,13790674,8,2,14,Yes,18199876,13796126,11,2,18,Yes,15165073,13800073,5,1,8,Yes,16763155,13801591,6,1,9
Bobandy,79926703,70,65,0,Yes,16349969,13449969,14,0,23,Yes,15452051,13452051,7,0,11,Yes,15388498,13455998,6,2,11,Yes,16348498,13455998,7,1,10,Yes,16356381,13463881,8,0,10,No,31306,31306,0,0,0
8,79925273,25,33,0,Yes,15041962,12541962,13,0,19,Yes,12796411,12546411,1,0,2,Yes,13373088,12548088,5,1,6,Yes,12895723,12554473,2,2,2,Yes,13249696,12567196,4,0,4,Yes,12568393,12568393,0,0,0
TheMonkeyBuddha,88618536,31,58,0,Yes,15367390,12567390,13,0,22,Yes,12819235,12569235,2,0,2,Yes,14846483,12572733,7,2,13,Yes,14967692,12578942,6,1,7,Yes,17352306,12582930,11,0,13,Yes,13265430,12582930,3,0,1
Pussbag,41668198,0,7,0,Yes,8296646,7996646,2,0,3,Yes,8248660,7998660,2,0,2,Yes,8002782,8002782,0,0,0,Yes,8002782,8002782,0,0,0,Yes,8167675,8005175,1,0,1,No,949653,730278,2,0,1
Digolo Doorjam,46628443,6,14,0,Yes,11945335,11145335,4,0,8,Yes,11146302,11146302,0,0,0,No,0,0,0,0,0,Yes,12008946,11163946,3,1,5,No,344610,182110,1,0,1,Yes,11183250,11183250,1,0,0
Cubanito,56388611,0,3,0,Yes,9304013,9304013,0,0,0,Yes,9304351,9304351,0,0,0,Yes,9721439,9346439,3,1,3,Yes,9346439,9346439,0,0,0,Yes,9356123,9356123,0,0,0,Yes,9356246,9356246,0,0,0
Banshey,69421526,10,32,0,Yes,12453423,10453423,8,0,14,Yes,11713126,10463126,4,0,6,Yes,11390735,10478235,3,2,4,Yes,11845188,10480188,3,1,5,Yes,11505835,10482085,2,0,3,Yes,10513219,10513219,0,0,0
Stegosaurus Dave,19748459,0,0,0,No,0,0,0,0,0,Yes,9873937,9873937,0,0,0,Yes,9874522,9874522,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
Steelers77,69211211,2,19,0,Yes,11672249,10872249,4,0,6,Yes,10866953,10866953,0,0,2,Yes,11574687,10892187,2,2,4,Yes,13280100,10891350,4,0,7,Yes,10905896,10905896,0,0,0,Yes,10911326,10911326,0,0,0
Enzo,65240765,20,32,0,Yes,15007127,12107127,13,0,23,Yes,13869174,12119174,6,0,9,Yes,12120923,12120923,1,0,0,Yes,12120923,12120923,0,0,0,No,0,0,0,0,0,Yes,12122618,12122618,0,0,0
Uhrrr ahhrrr aaargh,29020979,3,16,0,Yes,10169797,8969797,6,0,12,No,0,0,0,0,0,No,97204,97204,0,1,0,Yes,9335922,8994672,1,0,0,No,74347,74347,0,0,2,Yes,9343709,9002459,1,0,2
cfcmattw,59295952,0,26,0,Yes,12213174,10713174,7,0,12,Yes,10713174,10713174,0,0,0,Yes,11895938,10713438,5,2,8,Yes,10717781,10717781,0,0,0,Yes,13755885,10721197,4,0,6,No,0,0,0,0,0
Luiz Yavok,72558358,2,49,0,Yes,12833505,10633505,9,0,16,Yes,11637387,10637387,4,0,7,Yes,11739996,10648746,4,2,8,Yes,12900551,10690551,6,0,10,Yes,11380636,10698136,3,0,4,Yes,12066283,10701283,3,0,4
