Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
PaulB086,95434876,108,66,0,Yes,16591262,13791262,12,0,22,Yes,15306341,13806341,7,0,10,Yes,15904665,13809665,7,2,12,Yes,15677296,13808546,5,1,8,Yes,15672508,13813914,5,0,7,Yes,16282804,13814834,4,0,7
TheMonkeyBuddha,99931642,24,88,0,Yes,16485384,13485384,14,0,24,Yes,15538250,13538250,8,1,11,Yes,16155702,13540702,8,1,15,Yes,16270976,13540976,8,1,13,Yes,16992301,13545269,9,0,10,Yes,18489029,13553089,9,0,15
Pussbag,48228161,3,5,0,Yes,9430204,9430204,0,0,0,Yes,9482552,9482552,0,0,0,Yes,9647035,9484535,1,0,1,Yes,10168933,9486433,2,0,4,No,0,0,0,0,0,Yes,9499437,9499437,0,0,0
Digolo Doorjam,61728423,5,14,0,No,1881795,881795,5,0,10,Yes,12558436,11808436,4,0,4,Yes,11815095,11815095,0,1,0,Yes,11822907,11822907,0,0,0,Yes,11825095,11825095,0,0,0,Yes,11825095,11825095,0,0,0
Cubanito,52989260,3,0,0,Yes,10579971,10579971,0,0,0,Yes,10588807,10588807,0,0,0,No,0,0,0,0,0,Yes,10604006,10604006,0,1,0,Yes,10608238,10608238,0,0,0,Yes,10608238,10608238,0,0,0
Banshey,80713437,23,41,1,Yes,14192969,11692969,12,0,19,Yes,12823114,11698114,6,0,7,Yes,12479049,11729049,2,2,3,Yes,13775997,11728497,4,1,6,Yes,13739435,11728497,3,0,4,Yes,13702873,11728497,2,0,2
Stegosaurus Dave,63783413,38,0,0,Yes,10605909,10605909,0,0,0,Yes,10615923,10615923,0,0,0,Yes,10626719,10626719,0,0,0,Yes,10641918,10641918,0,0,0,Yes,10646472,10646472,0,0,0,Yes,10646472,10646472,0,0,0
Steelers77,79271897,6,53,0,Yes,13814671,11814671,10,0,17,Yes,12814671,11814671,5,0,7,Yes,13257180,11824680,5,2,10,Yes,12847780,11824030,3,0,6,Yes,13219835,11824366,4,0,7,Yes,13317760,11836978,3,0,6
Enzo,92725659,20,73,0,Yes,16333479,13033479,14,0,24,Yes,14784109,13034109,8,0,9,Yes,15317064,13043314,7,3,13,Yes,14750599,13044349,4,1,7,Yes,15528380,13050254,7,0,11,Yes,16012028,13050464,5,0,9
Kayid,40358138,4,6,0,Yes,8090152,7890152,1,0,2,Yes,8395261,7895261,2,0,3,Yes,7895277,7895277,0,1,0,Yes,7907474,7907474,0,0,0,Yes,8069974,7907474,1,0,1,No,0,0,0,0,0
Uhrrr ahhrrr aaargh,49559177,20,2,1,Yes,9855297,9855297,0,0,0,Yes,10105297,9855297,1,0,2,Yes,9855297,9855297,0,2,0,No,0,0,0,0,0,Yes,9870884,9870884,0,0,0,Yes,9872402,9872402,0,0,0
cfcmattw,48705025,2,13,0,Yes,13359444,11759444,8,0,13,Yes,11759191,11759191,0,0,0,No,68008,68008,0,1,0,Yes,11759191,11759191,0,0,0,No,0,0,0,0,0,Yes,11759191,11759191,0,0,0
Luiz Yavok,84059808,3,61,0,Yes,14791254,11991254,13,0,22,Yes,13869069,11994069,8,1,10,Yes,14281265,12007515,7,1,13,Yes,14738546,12008546,6,1,10,Yes,13373546,12008546,3,0,5,Yes,13006128,12018940,1,0,1
Muerte 3 Astar131,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
Spuddy holly,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
lakera05,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
