Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Chapolin Colorado,81656523,1,18,0,Yes,13972540,13172540,4,0,8,Yes,13172540,13172540,0,0,0,Yes,13864698,13182198,3,1,4,Yes,14226057,13202307,3,2,6,Yes,13206107,13206107,0,0,0,Yes,13214581,13214581,0,0,0
N7 Tesla,70327825,35,40,0,Yes,14767199,12467199,13,0,20,Yes,14228842,12478842,7,0,9,No,161532,161532,0,0,0,Yes,14177102,12487102,9,0,7,Yes,14501415,12490477,9,0,4,Yes,12491735,12491735,0,0,0
MINI Mace Dymond,90615296,28,48,4,Yes,13267730,13267730,0,0,0,Yes,16530162,13280162,12,0,18,Yes,15213962,13281462,6,2,11,Yes,13281544,13281544,0,1,0,Yes,19040139,13281544,13,0,19,Yes,13281759,13281759,0,0,0
Yania May,61616772,23,12,0,Yes,12601200,12001200,3,0,6,Yes,13003500,12003500,4,1,6,No,0,0,0,0,0,Yes,12004024,12004024,0,0,0,Yes,12004024,12004024,0,0,0,Yes,12004024,12004024,0,0,0
dadslostcause,49747281,5,0,0,Yes,8278399,8278399,0,0,0,Yes,8283183,8283183,0,0,0,Yes,8289933,8289933,0,0,0,Yes,8289933,8289933,0,0,0,Yes,8291991,8291991,0,0,0,Yes,8313842,8313842,0,0,0
Fixer 40,22507570,0,5,0,No,0,0,0,0,0,Yes,11617739,10867739,4,0,5,No,0,0,0,0,0,Yes,10889831,10889831,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
Jhoots15,24363567,0,1,0,Yes,5177153,4777153,2,0,1,Yes,4777153,4777153,0,0,0,Yes,4777153,4777153,0,0,0,No,0,0,0,0,0,Yes,4816054,4816054,0,0,0,Yes,4816054,4816054,0,0,0
Wabba Dejabba,69732129,16,6,0,Yes,11191316,11191316,0,0,0,Yes,11193633,11193633,0,1,0,Yes,11195219,11195219,0,0,0,Yes,12222158,11198408,1,1,2,Yes,11202917,11202917,1,0,0,Yes,12726886,11209542,2,0,4
Bobandy,93921809,45,63,2,Yes,16333008,13533008,13,0,22,Yes,15039763,13539763,6,0,10,Yes,14972263,13539763,5,2,10,Yes,16985289,13589039,7,1,10,Yes,16999508,13589039,10,0,11,Yes,13591978,13591978,0,0,0
Pussbag,40942646,0,0,0,Yes,8178423,8178423,0,0,0,Yes,8178633,8178633,0,0,0,Yes,8183397,8183397,0,0,0,Yes,8194819,8194819,0,0,0,Yes,8207374,8207374,0,0,0,No,0,0,0,0,0
Digolo Doorjam,45790007,5,4,0,No,0,0,0,0,0,Yes,11256431,11256431,0,0,0,Yes,11808612,11271112,3,1,4,No,164778,164778,0,1,0,Yes,11279370,11279370,0,0,0,Yes,11280816,11280816,0,0,0
Cubanito,57914318,0,5,0,Yes,9533591,9533591,0,0,0,Yes,9541369,9541369,0,0,0,Yes,10174017,9549017,3,1,5,Yes,9549931,9549931,0,0,0,Yes,9555355,9555355,0,0,0,Yes,9560055,9560055,0,0,0
Stegosaurus Dave,10505883,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,Yes,9975922,9975922,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,529961,529961,3,0,0
Steelers77,78155899,5,51,1,Yes,13107126,11107126,9,0,17,Yes,12107126,11107126,4,0,7,Yes,11712086,11120836,3,1,4,Yes,14202475,11131225,7,1,11,Yes,13189055,11141555,3,0,5,Yes,13838031,11144593,4,0,7
Enzo,83229206,3,53,0,Yes,14810622,12310622,11,0,19,Yes,14560622,12310622,8,0,13,Yes,14243122,12310622,6,0,11,Yes,12704024,12362774,2,1,2,Yes,12362984,12362984,1,0,0,Yes,14547832,12374394,5,0,8
Kayid,44832857,0,2,0,Yes,7410631,7410631,0,0,0,Yes,7410647,7410647,0,0,0,Yes,7416475,7416475,0,1,0,Yes,7757742,7416492,2,0,2,Yes,7418681,7418681,0,0,0,Yes,7418681,7418681,0,0,0
Uhrrr ahhrrr aaargh,45889255,3,0,0,Yes,9177851,9177851,0,0,0,Yes,9177851,9177851,0,0,0,Yes,9177851,9177851,0,0,0,Yes,9177851,9177851,0,1,0,Yes,9177851,9177851,0,0,0,No,0,0,0,0,0
Luiz Yavok,73687524,2,39,0,Yes,13342002,11042002,11,0,17,Yes,12545170,11045170,6,1,8,Yes,12146458,11055208,4,1,8,Yes,12463555,11098555,3,0,5,Yes,11098712,11098712,0,0,0,Yes,12091627,11104439,1,0,1
