Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
HonkaHonka,63907471,7,41,0,Yes,12898520,11298520,8,0,16,Yes,12546738,11296738,6,1,9,Yes,12889945,11298695,5,0,9,No,2907268,1201018,4,1,7,Yes,11332111,11332111,0,0,0,Yes,11332889,11332889,0,0,0
ItzBerndern,110329634,68,114,8,Yes,17603915,14303915,14,1,24,Yes,17178915,14303915,12,1,18,Yes,18625165,14303915,12,3,22,Yes,20096574,14301417,12,1,21,Yes,21031925,14310517,14,0,20,Yes,15793140,14312358,4,3,9
burly kernel,67601275,33,14,1,No,289630,289630,0,0,0,Yes,14140034,12765034,6,0,9,Yes,13265671,12765671,2,1,4,Yes,12772438,12772438,0,2,0,Yes,12775496,12775496,0,0,0,Yes,14358006,13370818,1,0,1
SuperKlago,48537691,5,11,0,Yes,10446134,9446134,6,0,10,Yes,9455642,9455642,0,0,0,Yes,9582101,9457101,3,1,1,No,91641,91641,0,0,0,Yes,9477754,9477754,0,0,0,Yes,9484419,9484419,0,0,0
Aceth,81872103,1,58,0,Yes,14844009,11944009,14,0,23,Yes,13948703,11948703,8,0,11,Yes,14143053,11956803,8,2,12,Yes,12309180,11967930,1,1,2,Yes,12652407,11969907,4,0,4,Yes,13974751,11969907,4,0,6
Berk Law,58564659,15,32,0,Yes,15545233,12945233,12,1,20,No,30288,30288,0,0,0,Yes,12947639,12947639,0,2,0,No,739774,577274,1,2,1,Yes,12957879,12957879,0,1,0,Yes,16343846,12967908,7,0,11
Philadelphia Collins,109059046,61,108,0,Yes,17193245,14193245,13,1,24,Yes,16194171,14194171,7,1,11,Yes,16289171,14194171,7,1,12,Yes,19130508,14200664,12,1,21,Yes,20207072,14200664,13,1,22,Yes,20044879,14200971,10,1,18
Chapolin Colorado,71673555,1,14,0,No,182245,182245,0,1,0,Yes,15301954,13801954,6,0,10,Yes,13798822,13798822,0,1,0,Yes,13798838,13798838,0,2,0,Yes,13802254,13802254,0,0,0,Yes,14789442,13802254,2,1,4
PantherNP,42619372,1,2,0,Yes,10513435,10513435,0,0,0,Yes,10515827,10515827,0,0,0,No,60415,60415,0,1,0,Yes,10516967,10516967,0,2,0,No,0,0,0,0,0,Yes,11012728,10519134,1,0,2
N7 Tesla,53286469,21,38,0,No,3599097,2399097,7,0,9,No,4524396,2399396,9,0,12,No,3048857,1342607,4,2,7,Yes,14049239,13025489,7,0,6,Yes,15037909,13026971,7,0,4,Yes,13026971,13026971,2,0,0
Spuddy holly,73744679,6,46,0,Yes,12887591,10887591,11,0,14,Yes,12513801,10888801,6,1,8,Yes,12166891,10893141,6,0,8,Yes,12603988,10897738,4,1,7,Yes,11388829,10885079,2,0,3,Yes,12183579,10909985,8,0,6
MINI Mace Dymond,110825045,22,120,9,Yes,17210298,13810298,14,0,25,Yes,17185298,13810298,12,0,19,Yes,18133543,13812293,12,3,22,Yes,19465262,13812293,13,1,19,Yes,20842920,13812762,14,0,22,Yes,17987724,13813504,8,0,13
Pflapjack,80297111,113,13,0,Yes,13503888,13003888,3,0,5,Yes,13305224,13305224,0,1,0,Yes,13797810,13010310,5,1,6,Yes,13011406,13011406,0,1,0,Yes,13089971,13089971,0,0,0,Yes,13588812,13095218,1,0,2
rockoffanddie,105032522,64,105,0,Yes,15858266,13258266,13,1,23,Yes,15386833,13261833,8,0,12,Yes,15877043,13262043,8,2,15,Yes,19375171,13269233,13,1,21,Yes,20105495,13274399,13,0,19,Yes,18429714,13274399,9,0,15
Guiragon2,48344912,4,6,0,Yes,11715552,11715552,0,0,0,Yes,11711786,11711786,0,0,0,No,1385431,544181,3,0,6,No,0,0,0,0,0,Yes,11760630,11760630,0,0,0,Yes,11771513,11771513,0,0,0
Yania May,51102958,43,2,1,No,0,0,0,0,0,No,1681468,1181468,3,0,2,Yes,12354653,12354653,0,2,0,Yes,12354653,12354653,0,1,0,Yes,12354653,12354653,0,0,0,Yes,12357531,12357531,0,0,0
dadslostcause,64962208,16,30,0,Yes,11211496,10111496,6,0,11,Yes,11872256,10122256,6,1,9,Yes,11546496,10113996,5,1,10,Yes,10105704,10105704,0,1,0,Yes,10107533,10107533,0,0,0,Yes,10118723,10118723,0,0,0
Fixer 40,24840790,1,0,0,No,0,0,0,0,0,Yes,12394418,12394418,0,0,0,Yes,12394418,12394418,0,0,0,No,0,0,0,0,0,No,51954,51954,0,0,0,No,0,0,0,0,0
Jhoots15,41059193,0,3,1,Yes,6717868,6717868,0,0,0,Yes,6717868,6717868,0,0,0,Yes,7471228,6721228,3,0,3,Yes,6709100,6709100,0,1,0,Yes,6721438,6721438,0,0,0,Yes,6721691,6721691,0,0,0
Wabba Dejabba,64706307,17,21,0,Yes,11748062,11748062,0,0,0,Yes,13146019,11896019,4,1,7,No,1392488,709988,3,1,4,Yes,11912829,11912829,0,1,0,Yes,13113298,11912829,3,0,4,Yes,13393611,11912829,3,0,6
Gut0182,68689303,3,46,1,Yes,14379778,12379778,10,0,20,Yes,13889320,12389320,6,1,10,Yes,13734320,12389320,5,1,9,Yes,14271668,12402918,4,1,7,Yes,12414217,12414217,0,0,0,No,0,0,0,0,0
s0da p0pinski,108852061,52,96,0,Yes,17968597,14568597,14,1,25,Yes,16952225,14577225,9,0,14,Yes,17198411,14583411,8,3,15,Yes,19669364,14583114,13,1,19,Yes,17191106,14585012,10,1,9,Yes,19872358,14585012,12,1,14
Bobandy,104940027,80,89,0,Yes,17251451,14251451,13,0,24,Yes,16193295,14193295,7,1,11,Yes,16469102,14195352,7,1,13,Yes,19979169,14204325,13,1,20,Yes,18452802,14205458,9,1,14,Yes,16594208,14205458,4,1,7
MrJones7890,44489444,10,6,0,Yes,8694024,8594024,1,0,1,Yes,8596739,8596739,0,0,0,No,0,0,0,0,0,Yes,9630564,8606814,2,0,3,Yes,8948775,8607525,1,0,2,Yes,8619342,8619342,0,0,0
8,87598349,29,46,0,Yes,16280851,13380851,14,0,23,Yes,14755851,13380851,8,0,9,Yes,14765227,13400227,3,2,5,Yes,14303521,13401646,4,0,5,Yes,14086120,13403620,3,0,4,Yes,13406779,13406779,0,0,0
PaulB086,100123904,117,74,0,Yes,16666987,13866987,12,0,22,Yes,15367197,13867197,7,0,10,Yes,15966639,13871639,7,2,12,Yes,16945314,13874064,6,1,11,Yes,17266896,13880802,6,0,9,Yes,17910871,13888995,6,0,10
TheMonkeyBuddha,103855265,35,96,0,Yes,16919906,13619906,14,0,24,Yes,15750550,13625550,9,1,12,Yes,16249359,13634359,8,1,15,Yes,17550774,13634524,8,1,13,Yes,18491244,13634524,10,0,14,Yes,18893432,13634524,13,0,18
Pussbag,48450605,0,4,0,Yes,9542375,9542375,0,0,0,Yes,9794272,9544272,1,0,2,Yes,9546852,9546852,0,1,0,Yes,9551740,9551740,0,0,0,No,0,0,0,0,0,Yes,10015366,9576616,3,0,2
Digolo Doorjam,62502994,0,24,1,Yes,13067648,11867648,6,0,12,Yes,12367952,11867952,2,0,3,Yes,12587058,11870808,4,1,5,Yes,12240168,11898918,1,1,2,No,0,0,0,0,0,Yes,12240168,11898918,1,0,2
Cubanito,55068183,0,5,0,Yes,10715740,10715740,0,0,0,No,0,0,0,0,0,Yes,10738250,10738250,0,1,0,Yes,12104639,10739639,3,1,5,Yes,10745328,10745328,0,0,0,Yes,10764226,10764226,0,0,0
Banshey,83302359,19,46,0,Yes,13989404,11789404,10,0,16,Yes,13539404,11789404,6,0,9,Yes,13039956,11789956,5,2,7,Yes,13154404,11789404,4,1,5,Yes,14109092,11789404,4,0,4,Yes,15470099,11789473,4,1,5
Stegosaurus Dave,43291088,18,5,0,Yes,10664062,10664062,0,0,0,Yes,11041753,10666753,2,0,3,Yes,10916753,10666753,4,0,2,Yes,10668520,10668520,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
Muerte 3 Astar131,39779398,0,4,1,Yes,6940302,6540302,2,0,4,Yes,6542604,6542604,0,0,0,Yes,6572451,6572451,0,0,0,Yes,6574324,6574324,0,0,0,Yes,6574605,6574605,0,0,0,Yes,6575112,6575112,0,0,0
Steelers77,83810702,7,58,0,Yes,13694512,11894512,10,0,18,Yes,13146713,11896713,6,0,8,Yes,13694949,11921199,6,1,12,Yes,14802877,11920533,5,1,9,Yes,14339962,11920743,4,0,6,Yes,14131689,11931845,3,0,5
Enzo,87892294,22,57,0,Yes,15997089,13097089,14,0,23,Yes,15348068,13098068,8,1,13,Yes,15370839,13097089,7,2,13,Yes,14965839,13097089,8,1,8,Yes,13099902,13099902,1,0,0,Yes,13110557,13110557,0,0,0
Kayid,48370410,7,8,0,Yes,8725703,7925703,4,0,8,Yes,7925703,7925703,0,0,0,Yes,7925703,7925703,0,1,0,Yes,7928286,7928286,0,0,0,Yes,7928286,7928286,0,0,0,Yes,7936729,7936729,0,0,0
DarthNihilus,49369374,22,8,0,Yes,7989124,7989124,0,0,0,Yes,7999974,7999974,0,0,0,Yes,8338550,7997300,1,2,2,Yes,8684264,8001764,2,0,4,Yes,8343895,8002645,1,0,2,Yes,8013567,8013567,0,0,0
Uhrrr ahhrrr aaargh,60671454,23,7,1,Yes,10529669,9929669,3,0,6,Yes,9929669,9929669,0,1,0,Yes,9929669,9929669,0,0,0,Yes,9931649,9931649,0,1,0,Yes,10419149,9931649,1,0,1,Yes,9931649,9931649,0,0,0
cfcmattw,76403429,3,28,0,Yes,13606568,11906568,9,0,14,Yes,13774694,11899694,7,1,11,Yes,11906906,11906906,0,0,0,Yes,13160448,11974198,2,1,3,Yes,11976913,11976913,0,0,0,Yes,11977900,11977900,0,0,0
Luiz Yavok,87131298,3,67,0,Yes,14946634,12146634,13,1,22,Yes,13897874,12147874,7,1,9,Yes,14440591,12166841,7,1,13,Yes,16769261,12170511,9,1,14,Yes,13876971,12170721,5,0,7,Yes,13199967,12176217,2,0,2
